Brand,Demand Type,Distribution Center,Forecast Bias,Month,Forecast Accuracy,Plant,Product ID,Product Type,Region,Shipment Destination,Shipment Type,% on backorder,Backorder %,Buyer Type
"",Intermittent,Distribution Center C,Moderate over (5% to 20%),June,"",#0239,"",Cardiovascular,West,"","","3,67 %","3,67 %",""
"",Intermittent,Distribution Center C,Moderate over (5% to 20%),June,"",#0288,"",Cardiovascular,West,"","","2,07 %","4,14 %",""
"",Intermittent,Distribution Center C,Moderate over (5% to 20%),June,"",#0477,"",Advanced Surgical,West,"","","1,76 %","1,76 %",""
"",Intermittent,Distribution Center C,Moderate over (5% to 20%),June,"",#0477,"",Patient Monitoring,West,"","","3,67 %","3,67 %",""
"",Intermittent,Distribution Center C,Moderate over (5% to 20%),June,"",#0761,"",Cardiovascular,West,"","","2,01 %","4,01 %",""
"",Intermittent,Distribution Center C,Moderate over (5% to 20%),June,"",#0761,"",Respiratory,West,"","","2,67 %","2,67 %",""
"",Intermittent,Distribution Center C,Moderate over (5% to 20%),May,"",#0048,"",Patient Monitoring,West,"","","3,83 %","3,83 %",""
"",Intermittent,Distribution Center C,Moderate over (5% to 20%),May,"",#0239,"",Cardiovascular,West,"","","1,13 %","1,13 %",""
"",Intermittent,Distribution Center C,Moderate over (5% to 20%),May,"",#0239,"",Neurological,West,"","","2,87 %","2,87 %",""
"",Intermittent,Distribution Center C,Moderate over (5% to 20%),May,"",#0477,"",Advanced Surgical,West,"","","5,85 %","5,85 %",""
"",Intermittent,Distribution Center C,Moderate over (5% to 20%),May,"",#0477,"",Patient Monitoring,West,"","","7,98 %","7,98 %",""
"",Intermittent,Distribution Center C,Moderate over (5% to 20%),May,"",#0511,"",Patient Monitoring,West,"","","4,25 %","4,25 %",""
"",Intermittent,Distribution Center C,Moderate over (5% to 20%),May,"",#0761,"",Cardiovascular,West,"","","4,51 %","13,54 %",""
"",Intermittent,Distribution Center C,Moderate over (5% to 20%),May,"",#0761,"",Patient Monitoring,West,"","","3,99 %","7,98 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),April,"",#0048,"",Patient Monitoring,Midwest,"","","5,50 %","5,50 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),April,"",#0288,"",Neurological,Midwest,"","","6,91 %","6,91 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),April,"",#0288,"",Patient Monitoring,Midwest,"","","4,06 %","4,06 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),April,"",#0477,"",Patient Monitoring,Midwest,"","","2,92 %","2,92 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),April,"",#0761,"",Neurological,Midwest,"","","5,52 %","5,52 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),April,"",#0761,"",Respiratory,Midwest,"","","2,02 %","2,02 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),December,"",#0288,"",Patient Monitoring,Midwest,"","","5,55 %","5,55 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),February,"",#0288,"",Patient Monitoring,Midwest,"","","8,09 %","8,09 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),January,"",#0288,"",Patient Monitoring,Midwest,"","","6,09 %","6,09 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),June,"",#0239,"",Cardiovascular,Midwest,"","","1,10 %","1,10 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),June,"",#0239,"",Neurological,Midwest,"","","0,00 %","0,00 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),June,"",#0288,"",Cardiovascular,Midwest,"","","0,15 %","1,54 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),June,"",#0288,"",Patient Monitoring,Midwest,"","","18,15 %","254,03 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),June,"",#0477,"",Advanced Surgical,Midwest,"","","0,01 %","0,01 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),June,"",#0477,"",Cardiovascular,Midwest,"","","1,90 %","1,90 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),June,"",#0477,"",Patient Monitoring,Midwest,"","","11,65 %","11,65 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),June,"",#0610,"",Patient Monitoring,Midwest,"","","9,26 %","9,26 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),June,"",#0689,"",Patient Monitoring,Midwest,"","","0,42 %","0,42 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),March,"",#0288,"",Patient Monitoring,Midwest,"","","10,11 %","10,11 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),May,"",#0048,"",Patient Monitoring,Midwest,"","","7,30 %","7,30 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),May,"",#0239,"",Patient Monitoring,Midwest,"","","6,58 %","6,58 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),May,"",#0288,"",Cardiovascular,Midwest,"","","2,77 %","2,77 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),May,"",#0288,"",Patient Monitoring,Midwest,"","","6,06 %","6,06 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),May,"",#0610,"",Cardiovascular,Midwest,"","","1,86 %","1,86 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),May,"",#0761,"",Cardiovascular,Midwest,"","","3,53 %","3,53 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),November,"",#0288,"",Patient Monitoring,Midwest,"","","2,45 %","2,45 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),October,"",#0288,"",Patient Monitoring,Midwest,"","","7,06 %","7,06 %",""
"",Intermittent,Distribution Center D,Accurate (5% to -5%),September,"",#0288,"",Patient Monitoring,Midwest,"","","8,76 %","8,76 %",""
"",Intermittent,Distribution Center D,Consistent under (<-20%),May,"",#0239,"",Patient Monitoring,Midwest,"","","2,10 %","2,10 %",""
"",Intermittent,Distribution Center D,Moderate over (5% to 20%),April,"",#0239,"",Patient Monitoring,Midwest,"","","4,03 %","4,03 %",""
"",Intermittent,Distribution Center D,Moderate over (5% to 20%),April,"",#0610,"",Cardiovascular,Midwest,"","","4,19 %","4,19 %",""
"",Intermittent,Distribution Center D,Moderate over (5% to 20%),April,"",#0610,"",Patient Monitoring,Midwest,"","","3,82 %","3,82 %",""
"",Intermittent,Distribution Center D,Moderate over (5% to 20%),April,"",#0761,"",Cardiovascular,Midwest,"","","4,48 %","4,48 %",""
"",Intermittent,Distribution Center D,Moderate over (5% to 20%),June,"",#0239,"",Neurological,Midwest,"","","3,17 %","3,17 %",""
"",Intermittent,Distribution Center D,Moderate over (5% to 20%),June,"",#0511,"",Patient Monitoring,Midwest,"","","4,15 %","4,15 %",""
"",Intermittent,Distribution Center D,Moderate over (5% to 20%),June,"",#0761,"",Cardiovascular,Midwest,"","","2,24 %","4,47 %",""
"",Intermittent,Distribution Center D,Moderate over (5% to 20%),June,"",#0761,"",Patient Monitoring,Midwest,"","","3,13 %","6,25 %",""
"",Intermittent,Distribution Center D,Moderate over (5% to 20%),May,"",#0239,"",Cardiovascular,Midwest,"","","4,90 %","4,90 %",""
"",Intermittent,Distribution Center D,Moderate over (5% to 20%),May,"",#0239,"",Patient Monitoring,Midwest,"","","7,60 %","7,60 %",""
"",Intermittent,Distribution Center D,Moderate over (5% to 20%),May,"",#0477,"",Cardiovascular,Midwest,"","","4,88 %","4,88 %",""
"",Intermittent,Distribution Center D,Moderate over (5% to 20%),May,"",#0610,"",Patient Monitoring,Midwest,"","","7,77 %","7,77 %",""
"",Intermittent,Distribution Center D,Moderate under (-5% to -20%),April,"",#0610,"",Respiratory,Midwest,"","","3,86 %","3,86 %",""
"",No Segment,Distribution Center A,Accurate (5% to -5%),June,"",#0610,"",Patient Monitoring,Northeast,"","","1,24 %","1,24 %",""
"",No Segment,Distribution Center A,Moderate over (5% to 20%),April,"",#0610,"",Patient Monitoring,Northeast,"","","4,48 %","4,48 %",""
"",No Segment,Distribution Center B,Moderate over (5% to 20%),May,"",#0610,"",Patient Monitoring,Southwest,"","","3,28 %","3,28 %",""
"",No Segment,Distribution Center C,Accurate (5% to -5%),April,"",#0610,"",Respiratory,West,"","","5,31 %","5,31 %",""
"",No Segment,Distribution Center C,Moderate over (5% to 20%),February,"",#0610,"",Patient Monitoring,West,"","","4,48 %","4,48 %",""
"",No Segment,Distribution Center C,Moderate over (5% to 20%),June,"",#0610,"",Patient Monitoring,West,"","","4,98 %","4,98 %",""
"",No Segment,Distribution Center D,Accurate (5% to -5%),May,"",#0610,"",Patient Monitoring,Midwest,"","","4,26 %","4,26 %",""
"",Seasonal,Distribution Center A,Accurate (5% to -5%),April,"",#0761,"",Patient Monitoring,Northeast,"","","5,45 %","5,45 %",""
"",Seasonal,Distribution Center A,Moderate over (5% to 20%),September,"",#0761,"",Patient Monitoring,Northeast,"","","6,32 %","6,32 %",""
"",Seasonal,Distribution Center B,Accurate (5% to -5%),May,"",#0761,"",Patient Monitoring,Southwest,"","","6,01 %","6,01 %",""
"",Seasonal,Distribution Center C,Accurate (5% to -5%),June,"",#0761,"",Patient Monitoring,West,"","","2,31 %","2,31 %",""
"",Seasonal,Distribution Center C,Moderate over (5% to 20%),April,"",#0761,"",Patient Monitoring,West,"","","6,32 %","6,32 %",""
"",Seasonal,Distribution Center C,Moderate over (5% to 20%),May,"",#0761,"",Patient Monitoring,West,"","","3,95 %","3,95 %",""
"",Seasonal,Distribution Center D,Moderate over (5% to 20%),June,"",#0761,"",Patient Monitoring,Midwest,"","","4,67 %","4,67 %",""
"",Stable (High Price),Distribution Center A,Moderate over (5% to 20%),June,"",#0239,"",Patient Monitoring,Northeast,"","","4,39 %","4,39 %",""
"",Stable (High Price),Distribution Center B,Accurate (5% to -5%),April,"",#0239,"",Patient Monitoring,Southwest,"","","3,90 %","3,90 %",""
"",Stable (High Price),Distribution Center B,Moderate over (5% to 20%),October,"",#0239,"",Patient Monitoring,Southwest,"","","2,84 %","2,84 %",""
"",Stable (High Price),Distribution Center C,Accurate (5% to -5%),June,"",#0239,"",Patient Monitoring,West,"","","1,99 %","1,99 %",""
"",Stable (High Price),Distribution Center C,Accurate (5% to -5%),May,"",#0239,"",Patient Monitoring,West,"","","7,80 %","7,80 %",""
"",Stable (High Price),Distribution Center C,Moderate over (5% to 20%),April,"",#0239,"",Patient Monitoring,West,"","","2,84 %","2,84 %",""
"",Stable (High Price),Distribution Center D,Moderate over (5% to 20%),May,"",#0239,"",Patient Monitoring,Midwest,"","","2,84 %","2,84 %",""
"",Stable (Low Price),Distribution Center A,Moderate over (5% to 20%),June,"",#0511,"",Patient Monitoring,Northeast,"","","0,19 %","0,19 %",""
"",Stable (Low Price),Distribution Center B,Accurate (5% to -5%),April,"",#0511,"",Respiratory,Southwest,"","","6,43 %","6,43 %",""
"",Stable (Low Price),Distribution Center C,Accurate (5% to -5%),June,"",#0511,"",Patient Monitoring,West,"","","1,45 %","1,45 %",""
"",Stable (Low Price),Distribution Center C,Accurate (5% to -5%),May,"",#0511,"",Patient Monitoring,West,"","","6,53 %","6,53 %",""
"",Stable (Low Price),Distribution Center C,Moderate over (5% to 20%),April,"",#0511,"",Patient Monitoring,West,"","","5,51 %","5,51 %",""
"",Stable (Low Price),Distribution Center D,Moderate over (5% to 20%),May,"",#0511,"",Patient Monitoring,Midwest,"","","7,51 %","7,51 %",""
"",Volatile (High Price),Distribution Center A,Moderate over (5% to 20%),May,"",#0918,"",Patient Monitoring,Northeast,"","","5,16 %","5,16 %",""
"",Volatile (High Price),Distribution Center B,Moderate over (5% to 20%),June,"",#0918,"",Patient Monitoring,Southwest,"","","5,70 %","5,70 %",""
"",Volatile (High Price),Distribution Center C,Accurate (5% to -5%),April,"",#0918,"",Respiratory,West,"","","5,43 %","5,43 %",""
"",Volatile (High Price),Distribution Center C,Accurate (5% to -5%),May,"",#0918,"",Patient Monitoring,West,"","","5,69 %","5,69 %",""
"",Volatile (High Price),Distribution Center C,Moderate over (5% to 20%),January,"",#0918,"",Patient Monitoring,West,"","","6,81 %","6,81 %",""
"",Volatile (High Price),Distribution Center D,Accurate (5% to -5%),June,"",#0918,"",Patient Monitoring,Midwest,"","","4,83 %","4,83 %",""
"",Volatile (High Price),Distribution Center D,Moderate over (5% to 20%),April,"",#0918,"",Patient Monitoring,Midwest,"","","6,81 %","6,81 %",""
"",Volatile (Low Price),Distribution Center A,Accurate (5% to -5%),June,"",#0239,"",Patient Monitoring,Northeast,"","","2,75 %","2,75 %",""
"",Volatile (Low Price),Distribution Center A,Moderate over (5% to 20%),April,"",#0239,"",Patient Monitoring,Northeast,"","","2,88 %","2,88 %",""
"",Volatile (Low Price),Distribution Center B,Moderate over (5% to 20%),May,"",#0239,"",Patient Monitoring,Southwest,"","","7,34 %","7,34 %",""
"",Volatile (Low Price),Distribution Center C,Accurate (5% to -5%),April,"",#0239,"",Patient Monitoring,West,"","","2,55 %","2,55 %",""
"",Volatile (Low Price),Distribution Center C,Moderate over (5% to 20%),December,"",#0239,"",Patient Monitoring,West,"","","2,88 %","2,88 %",""
"",Volatile (Low Price),Distribution Center C,Moderate over (5% to 20%),June,"",#0239,"",Patient Monitoring,West,"","","5,71 %","5,71 %",""
"",Volatile (Low Price),Distribution Center D,Accurate (5% to -5%),May,"",#0239,"",Patient Monitoring,Midwest,"","","2,61 %","2,61 %",""
Contoso,Growing,Distribution Center A,Accurate (5% to -5%),May,"",#0511,"",Patient Monitoring,Northeast,"","","5,08 %","5,08 %",""
Contoso,Growing,Distribution Center B,Accurate (5% to -5%),June,"",#0511,"",Patient Monitoring,Southwest,"","","1,58 %","1,58 %",""
Contoso,Growing,Distribution Center B,Moderate over (5% to 20%),April,"",#0511,"",Patient Monitoring,Southwest,"","","4,29 %","4,29 %",""
Contoso,Growing,Distribution Center C,Moderate over (5% to 20%),June,"",#0511,"",Patient Monitoring,West,"","","0,24 %","0,24 %",""
Contoso,Growing,Distribution Center C,Moderate over (5% to 20%),May,"",#0511,"",Patient Monitoring,West,"","","3,48 %","3,48 %",""
Contoso,Growing,Distribution Center D,Accurate (5% to -5%),April,"",#0511,"",Patient Monitoring,Midwest,"","","5,92 %","5,92 %",""
Contoso,Growing,Distribution Center D,Moderate over (5% to 20%),March,"",#0511,"",Patient Monitoring,Midwest,"","","4,29 %","4,29 %",""
